# Program:featureCounts v2.0.8; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-s" "2" "-p" "-T" "1" "-a" "raw_data/references/GCF_000002985.6_WBcel235_clean.gtf" "-o" "results/expression/featurecounts/Neg_1_2_gene_counts.tsv" "results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam
CELE_Y32G9A.5	NC_003283.11;NC_003283.11	1907650;1907773	1907725;1908568	+;+	872	0
CELE_Y32G9A.14	NC_003283.11	1908636	1908656	-	21	0
CELE_Y32G9A.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1908842;1909688;1910227;1910429	1909183;1910183;1910382;1910692	+;+;+;+	1258	68
CELE_Y32G9A.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1911402;1911433;1912606;1912606;1912952;1913258;1913258;1913258;1913387;1913387;1913390	1911554;1911554;1913207;1913207;1913207;1913346;1913346;1913346;1913619;1913572;1913470	+;+;+;+;+;+;+;+;+;+;+	1077	2
CELE_Y32G9A.13	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1913627;1914551;1916962;1917357;1917721;1917914	1913705;1914622;1917065;1917468;1917859;1917986	-;-;-;-;-;-	579	60
CELE_Y32G9A.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1918509;1918539;1918539;1918564;1920542;1920542;1920542;1920841;1920841;1920841;1920841	1918592;1918592;1918592;1918587;1920634;1920634;1920634;1921029;1921029;1921101;1921029	+;+;+;+;+;+;+;+;+;+;+	438	12
CELE_Y32G9A.12	NC_003283.11;NC_003283.11	1919322;1920122	1919633;1920205	-;-	396	0
CELE_Y32G9A.1	NC_003283.11;NC_003283.11	1921621;1921891	1921759;1922381	+;+	630	7
CELE_T06A1.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1923116;1923902;1924218;1924401;1924598;1924742;1924990;1925208;1925417	1923425;1924168;1924321;1924553;1924695;1924932;1925081;1925319;1925587	-;-;-;-;-;-;-;-;-	1498	39
CELE_T06A1.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1927223;1927696;1927987;1928232;1928483;1929422;1929814;1931024;1931159	1927396;1927934;1928066;1928425;1928730;1929528;1930030;1931109;1931413	+;+;+;+;+;+;+;+;+	1600	361
CELE_T06A1.8	NC_003283.11	1938056	1938113	+	58	0
CELE_T06A1.10	NC_003283.11	1938056	1938113	-	58	0
CELE_T06A1.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1944955;1945423;1945490;1947892;1950314;1950314;1950314;1951751;1951751;1951751;1952967;1952967;1952967	1945062;1945500;1945500;1948082;1950437;1950437;1950437;1951849;1951849;1951849;1953128;1953742;1953128	+;+;+;+;+;+;+;+;+;+;+;+;+	1376	48
CELE_T06A1.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1953912;1955290;1955510;1955765;1956208;1956369	1954262;1955391;1955714;1955871;1956273;1956560	-;-;-;-;-;-	1023	0
CELE_T06A1.9	NC_003283.11	1954054	1954171	+	118	0
CELE_T06A1.6	NC_003283.11	1954688	1955230	-	543	1
CELE_T06A1.7	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1957410;1957417;1957569;1957596	1957471;1957471;1957930;1957639	+;+;+;+	424	0
CELE_Y40B10B.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1960045;1960336;1960544;1960698;1961175	1960253;1960472;1960648;1961123;1961553	-;-;-;-;-	1256	2
CELE_Y40B10B.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1962815;1962815;1963718;1963718;1963951;1963951;1964206;1964206;1964601;1964601;1964715	1963174;1963174;1963819;1963819;1964155;1964155;1964312;1964312;1964906;1964666;1964906	-;-;-;-;-;-;-;-;-;-;-	1080	0
CELE_Y40B10B.3	NC_003283.11	1962975	1963083	+	109	0
CELE_T08B1.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1969528;1969753;1970912;1972273;1972400;1973815;1974274	1969631;1970077;1971536;1972344;1972742;1974203;1974514	+;+;+;+;+;+;+	2099	338
CELE_T08B1.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1975349;1976094;1976603;1977074	1975547;1976300;1977028;1977380	+;+;+;+	1139	0
CELE_T08B1.8	NC_003283.11	1978901	1979022	-	122	0
CELE_T08B1.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1979268;1979438;1979976;1979977;1979977;1980204;1980204;1980204;1980305;1980305;1980305;1981069;1981069;1982450;1982450;1982450	1979586;1979586;1980065;1980065;1980065;1980259;1980259;1980259;1980448;1980448;1981542;1981542;1981542;1982741;1982651;1982566	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1995	317
CELE_T08B1.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1982613;1982631;1982788;1983073;1983073;1983073;1983335;1983335;1983335;1983714;1983714;1983714;1984304;1984304;1984304;1985468;1985468;1985468;1985615;1985615;1985729;1985729;1986540;1986540;1986969	1982944;1982944;1982944;1983288;1983288;1983288;1983662;1983662;1983662;1983814;1983814;1983814;1984842;1984842;1984842;1985482;1985569;1985569;1985682;1985682;1985809;1985809;1986859;1986688;1987045	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2164	1201
CELE_T08B1.7	NC_003283.11	1988418	1988438	+	21	0
CELE_T08B1.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1989471;1989475;1990012;1990012;1990157;1990157;1991206;1991206;1992636;1992720;1992870;1992870	1989802;1989802;1990092;1990092;1990252;1990252;1991827;1991827;1992821;1992821;1992913;1992918	-;-;-;-;-;-;-;-;-;-;-;-	1366	658
CELE_T08B1.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	1996100;1996336;1996711;1998635;1998826;1999420	1996286;1996658;1996808;1998767;1999310;1999581	-;-;-;-;-;-	1388	859
CELE_F59A7.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2000418;2001291;2001465;2001601;2002561;2002848;2002984;2003423;2004091	2000584;2001415;2001553;2001748;2002800;2002941;2003170;2003704;2004329	-;-;-;-;-;-;-;-;-	1571	2
CELE_F59A7.9	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2004959;2005054;2005205;2005501;2006342;2006628	2005007;2005156;2005376;2005904;2006576;2006805	+;+;+;+;+;+	1141	0
CELE_F59A7.10	NC_003283.11;NC_003283.11	2007360;2007539	2007518;2007709	+;+	330	1
CELE_F59A7.8	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2008609;2008979;2009429;2009983;2010765;2011199	2008920;2009304;2009869;2010714;2011074;2011620	+;+;+;+;+;+	2543	714
CELE_F59A7.7	NC_003283.11;NC_003283.11;NC_003283.11	2012077;2012945;2013231	2012356;2013179;2013398	+;+;+	683	58
CELE_F59A7.11	NC_003283.11;NC_003283.11;NC_003283.11	2013352;2013554;2013770	2013500;2013694;2013924	-;-;-	445	2
CELE_F59A7.2	NC_003283.11;NC_003283.11;NC_003283.11	2015836;2016046;2016425	2015999;2016228;2016528	-;-;-	451	72
CELE_F59A7.14	NC_003283.11;NC_003283.11;NC_003283.11	2018989;2021891;2022277	2019122;2021962;2022467	+;+;+	397	10
CELE_F59A7.13	NC_003283.11	2020808	2020828	-	21	0
CELE_F59A7.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2022674;2022718;2022719;2022730;2023318;2023318;2023318;2023318;2023693;2023693;2023693;2023693;2023800;2023800;2023800;2023800;2024192;2024192;2024479;2024479;2024479;2024479	2022829;2022829;2022829;2022829;2023488;2023488;2023434;2023434;2023749;2023749;2023749;2023749;2024014;2024014;2024014;2024014;2024314;2024314;2024687;2024694;2024695;2024693	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	939	157
CELE_F59A7.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2024703;2025509;2025797;2026678;2026960;2027667	2024866;2025701;2025910;2026915;2027040;2027887	-;-;-;-;-;-	1011	0
CELE_F59A7.12	NC_003283.11	2030177	2030407	+	231	38
CELE_F59A7.4	NC_003283.11;NC_003283.11	2030507;2031248	2031001;2031554	-;-	802	50
CELE_Y40B10A.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2033792;2033792;2033932;2033932;2034740;2034740;2035032;2035032;2035233;2035233;2035419;2035419	2033886;2033886;2034124;2034124;2034937;2034937;2035185;2035185;2035313;2035313;2035630;2035645	-;-;-;-;-;-;-;-;-;-;-;-	948	0
CELE_Y40B10A.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2038193;2038633;2039349;2040062;2040231;2040721;2041471;2041943;2042138;2042314	2038422;2039305;2039438;2040181;2040465;2041426;2041568;2042004;2042269;2042359	-;-;-;-;-;-;-;-;-;-	2392	0
CELE_Y40B10A.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2043240;2043240;2043352;2043363;2043460;2043460;2043460;2043460;2043700;2043700;2043700;2043700;2043942;2043942;2043942;2043942;2044735;2044735;2044735;2044735;2045039;2045039;2045039;2045039;2045835;2045835;2045835;2045835;2045989;2045989;2045989;2045989	2043411;2043404;2043411;2043404;2043537;2043537;2043537;2043537;2043894;2043885;2043894;2043885;2044070;2044070;2044070;2044070;2044988;2044988;2044988;2044988;2045139;2045139;2045139;2045139;2045938;2045938;2045938;2045938;2046045;2046045;2046045;2046056	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1101	0
CELE_Y40B10A.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2049217;2049544;2049721;2050110	2049490;2049677;2050051;2050185	-;-;-;-	815	168
CELE_Y40B10A.10	NC_003283.11	2049985	2050132	+	148	0
CELE_Y40B10A.11	NC_003283.11;NC_003283.11	2050915;2051549	2051104;2051607	-;-	249	0
CELE_Y40B10A.7	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2052226;2052979;2053156;2053538	2052441;2053112;2053486;2053609	-;-;-;-	753	10
CELE_Y40B10A.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2057537;2059565;2059628;2060729;2060729;2060925;2060925	2057727;2059895;2059895;2060862;2060862;2061080;2061136	+;+;+;+;+;+;+	868	443
CELE_Y40B10A.8	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2061106;2061133;2062238;2062238;2063331;2063331;2064848;2064848;2065663;2065663;2066586;2066586	2061346;2061346;2062517;2062508;2063515;2063515;2064973;2064973;2065979;2065979;2066844;2066850	-;-;-;-;-;-;-;-;-;-;-;-	1414	1068
CELE_Y40B10A.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2068449;2068564;2068564;2068870;2068870	2068487;2068815;2068815;2069140;2069142	+;+;+;+;+	564	14131
CELE_Y40B10A.9	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2069138;2069232;2069472;2069472;2069741;2069741;2069906;2069906;2071487;2072706	2069420;2069420;2069688;2069688;2069838;2069838;2070304;2070339;2071685;2072907	-;-;-;-;-;-;-;-;-;-	1433	339
CELE_F36F12.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2085795;2086355;2086470;2086470;2086471;2086471;2086847;2086847;2086847;2086847;2087024;2087024;2087276;2087276;2087276;2087276;2087296;2087417;2087417;2087417;2087417;2087417;2087426;2088240;2088240;2088240;2088240;2088240;2088240;2088757;2088757;2088757;2088757;2088757;2088757;2089600;2089600;2089600;2089600;2089600;2089600	2085861;2086404;2086579;2086579;2086579;2086579;2086938;2086938;2086938;2086938;2087222;2087222;2087373;2087373;2087373;2087373;2087373;2087569;2087569;2087569;2087569;2087569;2087569;2088383;2088383;2088383;2088383;2088383;2088383;2088989;2088989;2088989;2088989;2088989;2088989;2089747;2089766;2089766;2089819;2089819;2089747	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1366	44
CELE_F36F12.8	NC_003283.11;NC_003283.11;NC_003283.11	2090669;2090854;2091556	2090792;2091500;2091740	+;+;+	956	635
CELE_F36F12.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2091731;2093264;2094033;2094194;2094743;2094926;2095101	2092047;2093986;2094148;2094302;2094874;2094997;2095304	-;-;-;-;-;-;-	1673	0
CELE_F36F12.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2096072;2096330;2096486;2097006;2097150	2096285;2096435;2096672;2097101;2097272	+;+;+;+;+	726	0
CELE_F36F12.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2097953;2098200;2098366;2098889;2099033	2098156;2098305;2098552;2098984;2099158	+;+;+;+;+	719	2
CELE_F36F12.7	NC_003283.11;NC_003283.11;NC_003283.11	2099340;2099439;2099973	2099385;2099693;2100075	+;+;+	404	3
CELE_F36F12.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2100061;2100110;2100340;2100340;2101215;2101372;2101763;2102290;2102446;2102987	2100241;2100241;2100465;2100475;2101321;2101610;2102243;2102398;2102577;2103218	-;-;-;-;-;-;-;-;-;-	1617	16
CELE_F22F7.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2103658;2103658;2103658;2104129;2104129;2104129;2104911;2104911;2104911;2105079;2105079;2105079;2105424;2105424;2105424;2105796;2105796;2105928	2103952;2103952;2103952;2104842;2104842;2104842;2105026;2105026;2105026;2105187;2105187;2105187;2105533;2105555;2105555;2105867;2105867;2106076	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1587	22
CELE_F22F7.9	NC_003283.11	2105662	2105715	+	54	0
CELE_F22F7.10	NC_003283.11	2105662	2105715	-	54	0
CELE_F22F7.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2106398;2106400;2106656;2106656;2106861;2106861;2107237;2107237;2107359;2107359;2107649;2107649;2107807;2107807;2109082;2109082;2109283	2106610;2106610;2106796;2106796;2107008;2107008;2107313;2107313;2107521;2107521;2107759;2107759;2108055;2108055;2109209;2109209;2109383	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1331	264
CELE_F22F7.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2110668;2111422;2111599;2111764;2112871;2114194	2110988;2111553;2111707;2111879;2113584;2114902	+;+;+;+;+;+	2101	32
CELE_F22F7.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2115486;2115705;2115895;2116147;2116312;2117737;2118039;2118296;2118567	2115636;2115841;2115988;2116263;2116591;2117839;2118231;2118432;2118674	-;-;-;-;-;-;-;-;-	1320	4
CELE_F22F7.11	NC_003283.11;NC_003283.11	2119829;2119950	2119898;2120215	+;+	336	0
CELE_F22F7.8	NC_003283.11;NC_003283.11;NC_003283.11	2120849;2121591;2121868	2121210;2121691;2121960	-;-;-	556	73
CELE_F22F7.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2122782;2123139;2124291;2125285;2126386;2126919	2123024;2123258;2124551;2125692;2126600;2127165	+;+;+;+;+;+	1494	95
CELE_F22F7.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2127535;2127746;2127899;2127992;2129203;2129203;2129761;2129761	2127701;2127852;2128319;2128319;2129683;2129683;2129866;2130100	+;+;+;+;+;+;+;+	1516	3565
CELE_F22F7.7	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2131475;2132090;2132090;2132780;2132780;2132780;2133471;2133471;2134138;2134138;2139758;2139953	2132198;2132198;2132198;2132946;2132970;2132970;2133587;2133587;2134308;2134356;2139831;2140042	-;-;-;-;-;-;-;-;-;-;-;-	1415	303
CELE_F22F7.12	NC_003283.11;NC_003283.11	2144020;2144157	2144111;2144508	-;-	444	0
CELE_C45H4.12	NC_003283.11;NC_003283.11	2145485;2145660	2145599;2146144	-;-	600	0
CELE_C45H4.11	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2147095;2147372;2147385;2147547;2147923;2147923;2147923;2148127;2148174;2148174;2148174;2148174;2148319;2148319;2148319;2148319;2148461;2148461;2148461;2148461	2147189;2147594;2147594;2147594;2148129;2148129;2148129;2148129;2148272;2148272;2148272;2148272;2148417;2148417;2148417;2148417;2148622;2148622;2148622;2148626	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	889	4
CELE_C45H4.21	NC_003283.11;NC_003283.11	2148530;2149351	2149041;2149532	-;-	694	0
CELE_C45H4.T1	NC_003283.11	2149177	2149249	-	73	0
CELE_C45H4.13	NC_003283.11;NC_003283.11	2150091;2150560	2150479;2150976	-;-	806	0
CELE_C45H4.19	NC_003283.11	2150856	2150876	-	21	0
CELE_C45H4.10	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2151758;2151927;2152204;2152453;2152684;2152831	2151874;2152146;2152410;2152545;2152785;2153092	+;+;+;+;+;+	1001	0
CELE_C45H4.9	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2153574;2153733;2153993;2154245;2154817;2154966;2155717	2153686;2153949;2154199;2154337;2154921;2155363;2155799	+;+;+;+;+;+;+	1216	0
CELE_C45H4.7	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2155532;2155673;2155938;2156194;2156332;2156474	2155629;2155886;2156144;2156286;2156421;2156635	+;+;+;+;+;+	864	0
CELE_C45H4.8	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2157130;2157277;2157542;2157811;2157948;2158104	2157227;2157490;2157748;2157903;2158052;2158274	+;+;+;+;+;+	888	0
CELE_C45H4.20	NC_003283.11	2157234	2157254	+	21	0
CELE_C45H4.14	NC_003283.11;NC_003283.11;NC_003283.11	2158659;2158800;2159350	2159273;2159195;2159431	-;-;-	697	191
CELE_C45H4.15	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2161500;2161870;2162482;2162682;2162861;2163512;2163653	2161633;2162182;2162635;2162816;2162939;2163599;2163835	-;-;-;-;-;-;-	1086	2
CELE_C45H4.16	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2164788;2165031;2165182;2165324;2166396;2166664	2164984;2165135;2165280;2165530;2166615;2166779	-;-;-;-;-;-	944	2
CELE_C45H4.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2169306;2169709;2169831;2169982;2170237;2170385;2170537	2169418;2169786;2169928;2170188;2170329;2170489;2170668	+;+;+;+;+;+;+	826	0
CELE_C45H4.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2171418;2171615;2171733;2172529;2173999;2174145	2171612;2171731;2171846;2172696;2174102;2174412	+;+;+;+;+;+	966	2
CELE_C45H4.18	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2175542;2176018;2176039;2177076;2177076;2177233;2177233	2175976;2176185;2176185;2177179;2177179;2177503;2177503	+;+;+;+;+;+;+	978	0
CELE_C45H4.3	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2177714;2177773;2177840;2177856;2178443;2178443;2178694;2178694;2178846;2178846;2178997;2178997	2177811;2177779;2178075;2178075;2178649;2178649;2178789;2178789;2178944;2178944;2179116;2179116	+;+;+;+;+;+;+;+;+;+;+;+	856	2
CELE_C45H4.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2179514;2180210;2180615;2180978;2181298;2181661	2179784;2180571;2180919;2181188;2181609;2181938	+;+;+;+;+;+	1739	6
CELE_C45H4.1	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2182038;2182532;2182785;2182930;2183072	2182409;2182738;2182880;2183028;2183191	+;+;+;+;+	894	1
CELE_C45H4.17	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2183488;2183851;2184269;2184626;2186074;2186197;2186437;2186437	2183719;2184212;2184573;2184836;2186385;2186385;2186535;2186599	+;+;+;+;+;+;+;+	1585	10
CELE_Y5H2B.3	NC_003283.11	2188295	2188843	+	549	74
CELE_Y5H2B.4	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2189586;2189786;2189944;2190084;2190789;2191110	2189741;2189890;2190036;2190290;2191008;2191222	-;-;-;-;-;-	894	0
CELE_Y5H2B.2	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2192485;2192497;2192716;2192716;2193090;2193090;2193295;2193295;2193500;2193500;2193683;2193683;2193794;2193794;2196171;2196171;2196420;2196667;2196667	2192584;2192584;2192869;2192869;2193244;2193244;2193456;2193456;2193631;2193631;2193747;2193747;2194038;2194038;2196319;2196319;2196514;2196826;2196827	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1418	468
CELE_Y5H2B.5	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2197997;2199143;2199885;2200029;2200268;2201011;2201109;2201224	2198447;2199642;2199984;2200222;2200353;2201064;2201179;2201415	-;-;-;-;-;-;-;-	1648	738
CELE_Y5H2B.6	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2201435;2202073;2202297;2202968;2204185	2201626;2202246;2202807;2203466;2204400	-;-;-;-;-	1592	2
CELE_Y5H2B.8	NC_003283.11	2202670	2202777	+	108	0
CELE_Y5H2B.7	NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11;NC_003283.11	2205030;2205355;2205755;2206096;2206226	2205311;2205628;2206053;2206186;2206281	-;-;-;-;-	1002	0
